AA	Altezas
san	sanitário
sân	sânscrito
sâns	sânscrito
sânscr	sânscrito
sap	sapataria
sapat	sapataria
Sarg	Sargento
Sarg-Aj	Sargento-Ajudante
Sas	Senhorias
sát	sátira
Sb	stilb
sc	scilicet
sch	schilling
scr	sânscrito
SE	Sudeste
SE	Sudoeste
sec	secretaria
Sec	Secretaria
séc	século
sec	segundo
secr	secretaria
sécs	séculos
sect	sectarismo
seg	segundo
segg	seguintes
segs	seguintes
sel	seleção
sem	semana
semânt	semântica
semic	semicantão
semin	seminário
semiol	semiologia
semít	semítico
semit	semitismo
sen	seno
sent	sentença
sep	separado
septent	septentrional
seq	seguinte
seqq	seguintes
sér	sérvio
ser-cr	servo-croata
serg	sergipano
seric	sericicultura
serralh	serralharia
serv	serviço
sérv	sérvio
set	setembro
sg	singular
siam	siamês
sib	siberiano
sid	siderurgia
sider	siderotécnica
siderogr	siderografia
siderotéc	siderotécnica
sigil	sigilografia
sign	significação
síl	sílaba
silv	silvicultura
silvic	silvicultura
símb	símbolo
simb	simbologia
simból	simbólica
simbol	simbologia
simpl	simplesmente
sin	sinaleiro
sin	sinônimo
sinéd	sinédoque
sing	singular
sinon	sinonímia
sint	sintaxe
sínt	síntese
sir	siríaco
sír	sírio
sist	sistema
sit	situado
Snr	senhor
Snra	senhora
SO	Sudoeste
soc	social
sociol	sociologia
sól	sólido
son	sonoplastia
Sor	Sênior
sor	sorologia
Sór	sóror
sos	socorro
SOS	socorro
sost	sostenuto
sov	soviético
soviét	soviético
sp	espécie
spp	espécies
sq	quadrado
Sr	senhor
sr	senhor
Sra	senhora
sra	senhora
Sras	senhoras
sras	senhoras
Sres	senhores
sres	senhores
Srs	senhores
srs	senhores
Srta	senhorita
srta	senhorita
Srtas	senhoritas
srtas	senhoritas
SS	Santidades
ss	seguintes
SSE	Su-Sueste
SSO	Su-Sudoeste
SSW	Su-Sudoeste
st	estéreo
Sta	Santa
sta	santa
stac	staccato
Stas	Santas
stas	santas
St-Cu	estrato-cúmulo
sth	esteno
Sto	Santo
sto	santo
Stos	Santos
stos	santos
sub	subjuntivo
subafl	subafluente
subafls	subafluentes
Subdiác	subdiácono
subj	subjuntivo
subjunt	subjuntivo
subord	subordinativo
subst	substantivo
subvar	subvariante
Suc	sucessor
suc	sucursal
sue	sueco
suec	sueco
suf	sufixo
suj	sujeito
sup	superlativo
superf	superfície
superl	superlativo
supl	suplemento
suprf	superfície
suprs	superstição
surr	surrealismo
surreal	surrealismo
SV	sotavento
SW	Sudoeste
t	tonelada
tab	tabela
táb	táboa
tai	taino
taí	taíno
tail	tailandês
tam	tamul
tâm	tâmul
tan	tanoaria
tang	tangente
tanoar	tanoaria
taquigr	taquigrafia
tard	tardio
tát	tática
taur	tauromaquia
taurom	tauromaquia
taxid	taxidermia
tb	também
tc	teclar
teat	teatro
teatr	teatro
tec	tecelagem
téc	técnica
técn	técnica
tecn	tecnologia
tecnog	tecnografia
tecnogr	tecnografia
tecnol	tecnologia
tect	tectônico
tel	telefone
telec	telecomunicações
telecom	telecomunicações
telef	telefone
teleg	telégrafos
telegr	telegrafia
telégr	telégrafo
telem	telemetria
telev	televisão
temp	temperatura
temper	temperatura
Ten	Tenente
ten	tenente
Ten-Cel	tenente-coronel
ten-cel	tenente-coronel
teol	teologia
teôn	teônimo
teor	teorema
teos	teosofia
terap	terapêutica
terapêut	terapêutica
terat	teratologia
teratol	teratologia
térm	térmico
term	terminação
termin	terminologia
terminol	terminologia
termod	termodinâmica
termodinâm	termodinâmica
termom	termometria
terr	território
territ	território
tes	tesoureiro
test	testemunha
têxt	têxtil
tf	tonelada-força
th	termia
tib	tibetano
tibet	tibetano
tint	tintura
tipogr	tipografia
tipol	tipologia
tir	tiragem
tít	título
ton	tonel	ou	tonéis
tôn	tônico
tóp	tópico
top	topônimo
top	topônimo
topog	topografia
topogr	topografia
topol	topologia
topon	toponímia
topôn	topônimo
torp	torpedeiro
tosc	toscano
tox	toxicologia
toxiol	toxiologia
tr	transitivo
trab	trabalho
trabalh	trabalhismo
trad	tradução
tradic	tradicional
tráf	tráfego
trans	transitivo
transit	transitivo
transj	transjordano
transm	transmontano
transmont	transmontano
transobj	transobjetivo
transp	transportes
trat	tratado
trat	tratamento
Trav	travessa
trib	tribunal
trig	trigonometria
trigon	trigonometria
trim	trimestral
trimest	trimestral
trit	triticultura
triv	trivial
trop	tropical
TT	termos
Tte	tenente
Tte-Cel	tenente-coronel
tte-cel	tenente-coronel
tun	tunisino
tunis	tunisiano
tup	tupi
tupi-guar	tupi-guarani
tur	turismo
turc	turco
turism	turismo
tv	televisão
ucr	ucraíno
ucraín	ucraíno
ucran	ucraniano
ult	último
umb	umbanda
un	unidade
unif	uniforme
univ	universal
univers	universidade
urb	urbanismo
urban	urbanista
urol	urologia
urug	uruguaio
us	usado
usual	usualmente
utilid	utilidade
utilit	utilitarismo
utop	utopismo
v	vide
V	volt
V-Alm	vice-almirante
v-alm	vice-almirante
VA	Vossa	Alteza
vad	vademeco
vadm	vademeco
val	valão
var	variação
vasc	vasconço
vb	verbo
vc	você
Vde	visconde
Vdessa	viscondessa
veg	vegetal
vel	velocidade
veloc	velocipedia
ven	venatório
venat	venatório
venez	venezuelano
venezuel	venezuelano
verb	verbal
verbal	verbalismo
vern	vernáculo
vers	versificação
versif	versificação
vet	veterinário
veter	veterinária
vid	vide
Vig	Vigário
vig	vigário
vin	vinicultura
vinic	vinicultura
viol	violino
vit	viticultura
vitic	viticultura
vitr	vitral
viz	videlicet
vl	violino
vmce	vosmecê
vmces	vosmecês
vo	verso
voc	vocábulo
vog	vogal
vol	volume
volat	volataria
voll	volumes
vols	volumes
vs	versus
vulc	vulcânico
vulg	vulgar
VV	Vossas
W	Oeste
w	watt
WC	toalete
Wh	watt-hora
wh	watt-hora
WNW	Oés-Noroeste
WNW	Oés-Noroeste
Ws	watt-segundo
ws	watt-segundo
WSW	Oés-Sudoeste
xenof	xenofobia
xerog	xerografia
xerogr	xerografia
xilog	xilogravura
xin	xintoísta
yd	jarda
zend	zende
zo	zoologia
zool	zoologia
zoot	zootecnia
zootec	zootecnia
zootéc	zootécnica
